Sigla,Numero,Ano,Nome,Descricao,Apelido,Indexacao
PL,11097,2005,PL 11097/2005,Lei Ordinária,Lei do Biodiesel ,"BIODIESEL - Matriz energética - Adição - Óleo diesel    AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS (ANP) - Competência    COMBUSTÍVEL - Abastecimento - Utilidade pública    POLÍTICA ENERGÉTICA    FONTE ALTERNATIVA DE ENERGIA    COMBUSTÍVEL - Petróleo - Gás natural - Gás Liquefeito de Petróleo (GLP) - Derivados de petróleo - Transportador - Fornecedor - Responsabilidade solidária - Qualidade - Rótulo - Embalagem    LEI DO BIODIESEL"
PL,111,2001,PL 111/2001,Lei Complementar,Lei do Fundo de Combate e Erradicação da Pobreza ,FUNDO DE COMBATE E ERRADICAÇÃO DA POBREZA - Recursos financeiros - Composição    POBREZA - Fundos - Combate - Competência - Estado (ente federado) - Município - Distrito Federal (DF)    POBREZA - Programa - Interesse social - Nutrição - Habitação - Saúde - Educação - Renda familiar    CONSELHO CONSULTIVO - Acompanhamento - Fundo de Combate e Erradicação da Pobreza - Criação    POPULAÇÃO - Qualidade de vida - Melhoria    POPULAÇÃO - População de baixa renda - Atendimento - Município - Recursos financeiros - Financiamento - Programa de Distribuição Emergencial de Alimentos (PRODEA) - Calamidade pública     FAMÍLIA - População de baixa renda - Atendimento - Bolsa Escola - Bolsa Alimentação    RECEITA - Alíquota - Contribuição social    RECEITA - Imposto sobre Produtos Industrializados (IPI) - Arrecadação    RECEITA - Doação - Pessoa jurídica - Pessoa física    RECEITA - Arrecadação - Imposto sobre Grandes Fortunas (IGF)    LEI DO FUNDO DE COMBATE E ERRADICAÇÃO DA POBREZA    
PL,11100,2005,PL 11100/2005,Lei Ordinária,"Lei Orçamentária Anual (LOA), 2005","ORÇAMENTO, 2005  - União Federal - Despesa - Receita    ORÇAMENTO FISCAL    ORÇAMENTO DA SEGURIDADE SOCIAL    ORÇAMENTO DE INVESTIMENTO    CRÉDITO SUPLEMENTAR - Abertura - Autorização    TÍTULO DA DÍVIDA AGRÁRIA - Operação financeira - Emissão    OBRA PÚBLICA - Serviços públicos - Irregularidade    LEI ORÇAMENTÁRIA ANUAL (LOA), 2005"
PL,11101,2005,PL 11101/2005,Lei Ordinária,"Lei de Falências (2005), Lei de Recuperação de Empresas e Falências; Nova Lei de Falências ",LEI DE FALÊNCIAS (2005)    RECUPERAÇÃO JUDICIAL - Regulamentação    RECUPERAÇÃO EXTRAJUDICIAL    RELAÇÃO DE TRABALHO - Reclamação trabalhista - Créditos - Habilitação - Exclusão - Modificação    CREDOR - Comitê - Assembléia Geral - Composição - Competência    INSS - Fazenda Pública - Créditos - Parcelamento    RECUPERAÇÃO JUDICIAL - Microempresa - Pequena Empresa - Empresário - Sociedade empresária    FALÊNCIA - Créditos - Classificação - Bens - Restituição - Arrecadação - Custódia    FALIDO - Inabilitação - Direitos - Deveres    DEVEDOR - Obrigações    CREDOR - Pagamento - Crime    FRAUDE CONTRA CREDORES    CONCORDATA    
PL,11105,2005,PL 11105/2005,Lei Ordinária,Lei de Biossegurança (2005); Lei de Engenharia Genética (2005),"TRANSGÊNICO - Segurança - Fiscalização - Construção - Cultivo - Produção - Manipulação - Transporte - Transferência - Importação - Exportação - Armazenagem - Pesquisa - Comercialização - Consumo - Liberação - Descarte - Destruição - Meio ambiente - Ministério da Saúde - Ministério da Agricultura, Pecuária e Abastecimento - Ministério do Meio Ambiente - Secretaria Especial de Aquicultura e Pesca    TRANSGÊNICO - Pesquisa científica - CTNBIO - Autorização    BIOÉTICA    LEI DE BIOSSEGURANÇA (2005)    BIOTECNOLOGIA    ENGENHARIA GENÉTICA - Acidentes - Investigação - Notificação - CTNBIO    CLONAGEM    CÉLULAS-TRONCO - Embrião - Pesquisa - Tratamento - Saúde - Congelamento - Prazo -     PESQUISA CIENTÍFICA - Tratamento  médico    MATERIAL BIOLÓGICO - Comercialização - Proibição    CNBS - Criação - Competência - Membros    POLÍTICA NACIONAL DE BIOSSEGURANÇA    CTNBIO - Reestruturação - Ministério da Ciência e Tecnologia - Composição - Competência - Membros    CIBIO - Criação - Competência    BIOSSEGURANÇA - Sistema de informação - Ministério da Ciência e Tecnologia    MEIO AMBIENTE - Danos - Terceiros - Responsabilidade civil - Responsabilidade administrativa - Infração - Multa - Crime - Pena    SOJA - Transgênico - Semente - Cultivares - Produção - Plantio - Comercialização - RNC - Autorização - Proibição - Safra, 2004/2005    CONSUMO HUMANO - Alimentos - Rótulo - Informações    EMBALAGEM - Alimento humano - Alimentação animal - Transgênicos - Informações    "
PL,11107,2005,PL 11107/2005,Lei Ordinária,Lei de Consórcios Públicos,CONSÓRCIO PÚBLICO - Contratação - Convênio - Contrato - União - Estado (ente federado) - Município - Distrito Federal (Brasil) - Serviços públicos - Concessão (administração pública) - Permissão (administração pública) - Autorização    PROTOCOLO DE INTENÇÕES - Contrato - Rateio - Recursos financeiros    LICITAÇÃO - Inexigibilidade - Dispensa    PESSOA JURÍDICA DE DIREITO PÚBLICO - Autarquia - Associação pública    LEI DE CONSÓRCIOS PÚBLICOS
PL,11108,2005,PL 11108/2005,Lei Ordinária,Lei do Parto Humanizado ,PARTURIENTE - Acompanhamento - Acompanhante - Direitos - Hospital - Sistema Único de Saúde (SUS) - Obrigatoriedade    PARTO    SERVIÇO DE SAÚDE - Gestante    SERVIÇO HOSPITALAR    LEI DO PARTO HUMANIZADO
PL,11124,2005,PL 11124/2005,Lei Ordinária,Lei do Sistema Nacional de Habitação de Interesse Social ,SISTEMA NACIONAL DE HABITAÇÃO DE INTERESSE SOCIAL (SNHIS) - Criação - Composição - Membro    FUNDO NACIONAL DE HABITAÇÃO DE INTERESSE SOCIAL (FNHIS) - Conselho Gestor - Criação - Competência - Recursos financeiros - Aplicação - Subsídio     HABITAÇÃO DE INTERESSE SOCIAL - População de baixa renda    MINISTÉRIO DAS CIDADES - Competência    HABITAÇÃO POPULAR    LEI DO SISTEMA NACIONAL DE HABITAÇÃO DE INTERESSE SOCIAL
PL,11129,2005,PL 11129/2005,Lei Ordinária,Lei do Programa Nacional de Inclusão de Jovens (2005); Lei do Projovem ,PROJOVEM - Secretaria-Geral da Presidência da República - Auxílio financeiro - União Federal - Cargo em comissão - DAS - Deficiente físico - Pessoa deficiente - Criação    SECRETARIA NACIONAL DE JUVENTUDE - Criação    ENSINO FUNDAMENTAL - Conclusão    ESCOLARIDADE - Aumento - Desenvolvimento    QUALIFICAÇÃO PROFISSIONAL    CNJ - Criação - Política pública - Juventude - Adolescente     SECRETARIA-GERAL DA PRESIDÊNCIA DA REPÚBLICA - Competência    RESIDÊNCIA EM ÁREA PROFISSIONAL DA SAÚDE - Curso de Pós Graduação lato sensu - Dedicação exclusiva - Profissional liberal - Saúde - Médico - Excessão - Criação    CNRMS - Ministério da Educação - Ministério da Saúde - Criação    PROGRAMA DE BOLSAS PARA A EDUCAÇÃO PELO TRABALHO - Universidade - Aluno - Estudante - Saúde - SUS - Ensino Superior - Diploma - Estágio - Curso de Aperfeiçoamento - Curso de Especialização - Militar - Prestação de serviço - Serviço militar obrigatório    RESIDÊNCIA MÉDICA - CNPq - Valor - Fixação    AUXÍLIO-ALUNO - Criação    AUXÍLIO-ALUNO - Custeio - Despesa - Transporte - Aluno - Ensino profissionalizante - Enfermagem - Deslocamento - Residência - Lugar - Ensino profissionalizante    PROJETO DE PROFISSIONALIZAÇÃO DOS TRABALHADORES DE ENFERMAGEM      MINISTÉRIO DO TRABALHO E EMPREGO    MINISTÉRIO DO DESENVOLVIMENTO SOCIAL E COMBATE À FOME    LEI DO PROGRAMA NACIONAL DE INCLUSÃO DE JOVENS (2005)
PL,11161,2005,PL 11161/2005,Lei Ordinária,Lei do Espanhol,LÍNGUA ESPANHOLA - Ensino - Obrigatoriedade - Oferta - Escola pública - Escola particular - Prazo    ENSINO MÉDIO - Aluno - Facultatividade - Matrícula    ENSINO FUNDAMENTAL - Currículo pleno - Inclusão - Facultatividade    LEI DO ESPANHOL
